endstationlatitude,endstationlongitude,endstationid,endstationname
40.69239502,-73.99337909,143.0,Clinton St & Joralemon St
40.692418292578466,-73.98949474096298,3440.0,Fulton St & Adams St
40.69308257,-73.97178913,270.0,Adelphi St & Myrtle Ave
40.693261,-73.968896,366.0,Clinton Ave & Myrtle Ave
40.69327018,-73.97703874,245.0,Myrtle Ave & St Edwards St
40.69331716,-73.95381995,373.0,Willoughby Ave & Walworth St
40.693398200000004,-73.939877,3059.0,Pulaski St & Marcus Garvey Blvd
40.69363137,-73.96223558,354.0,Emerson Pl & Myrtle Ave
40.69383,-73.990539,314.0,Cadman Plaza West & Montague St
40.69425403,-73.94626915,3060.0,Willoughby Ave & Tompkins Ave
40.694281141397326,-73.99230033159256,3246.0,Montague St & Clinton St
40.694528000000005,-73.958089,372.0,Franklin Ave & Myrtle Ave
40.694546087246025,-73.95801365375519,372.0,Franklin Ave & Myrtle Ave
40.69474881,-73.98362464,261.0,Johnson St & Gold St
40.69475701363877,-73.99052739143372,233.0,Cadman Plaza W & Pierrepont St
40.695065,-73.987167,392.0,Jay St & Tech Pl
40.69512845,-73.99595065,406.0,Hicks St & Montague St
40.69527008,-73.95238108,3063.0,Nostrand Ave & Myrtle Ave
40.69539817,-73.94954908,3062.0,Myrtle Ave & Marcy Ave
40.69573398,-73.97129668,421.0,Clermont Ave & Park Ave
40.69580705,-73.97355569,419.0,Carlton Ave & Park Ave
40.69597683,-73.99014892,232.0,Cadman Plaza E & Tillary St
40.69608941,-73.97803415,119.0,Park Ave & St Edwards St
40.69610226,-73.96751037,313.0,Washington Ave & Park Ave
40.696191999999996,-73.991218,322.0,Clinton St & Tillary St
40.69622937,-73.94371094,3061.0,Throop Ave & Myrtle Ave
40.69681963,-73.93756926,3064.0,Myrtle Ave & Lewis Ave
40.69760127,-73.99344559,391.0,Clark St & Henry St
40.69766564,-73.98476437,278.0,Concord St & Bridge St
40.697787,-73.973736,242.0,Carlton Ave & Flushing Ave
40.69794,-73.96986848,343.0,Clinton Ave & Flushing Ave
40.69795031569544,-73.97077560424805,3648.0,Flushing Ave & Vanderbilt Ave
40.69839895,-73.98068914,144.0,Nassau St & Navy St
40.698617,-73.941342,3179.0,Park Ave & Marcus Garvey Blvd
40.69878,-73.99712,3180.0,Brooklyn Bridge Park - Pier 2
40.69957608,-73.94708417,3066.0,Tompkins Ave & Hopkins St
40.699773,-73.979927,2001.0,Sands St & Navy St
40.69991755,-73.98971773,321.0,Cadman Plaza E & Red Cross Pl
40.6999974843885,-73.97440128028394,3692.0,5 St & Market St
40.70029511,-73.95032283,3065.0,Union Ave & Wallabout St
40.70037867,-73.99548059,216.0,Columbia Heights & Cranberry St
40.700469,-73.991454,407.0,Henry St & Poplar St
40.70122128,-74.01234218,259.0,South St & Whitehall St
40.70140317257725,-73.98672670125961,3674.0,Jay St & York St
40.7014851,-73.98656928,430.0,York St & Jay St
40.7016657,-73.9437303,3067.0,Broadway & Whipple St
40.701907,-74.013942,427.0,Bus Slip & State St
40.70224,-73.982578,418.0,Front St & Gold St
40.70255065,-74.0127234,534.0,Water - Whitehall Plaza
40.70255088,-73.98940236,2000.0,Front St & Washington St
40.70277159,-73.99383605,217.0,Old Fulton St
40.70281858,-73.98765762,414.0,Pearl St & Anchorage Pl
40.7031724,-73.940636,3068.0,Humboldt St & Varet St
40.70355377,-74.00670227,315.0,South St & Gouverneur Ln
40.70365182,-74.01167797,260.0,Broad St & Bridge St
40.703799200000006,-74.00838676,337.0,Old Slip & Front St
40.70411791,-73.94818595,3069.0,Lorimer St & Broadway
40.70463334,-74.01361706,304.0,Broadway & Battery Pl
40.7047177,-74.00926027,415.0,Pearl St & Hanover Square
40.70510918,-73.94407279,3070.0,McKibbin St & Manhattan Ave
40.70530954,-74.00612572,351.0,Front St & Maiden Ln
40.70531194,-73.97100056,2005.0,Railroad Ave & Kay Ave
40.70538077,-73.94976519,3071.0,Boerum St & Broadway
40.70569254,-74.01677685,2008.0,Little West St & 1 Pl
40.70583339,-73.94644578,3072.0,Leonard St & Boerum St
40.70684203101325,-73.9544353965357,3714.0,Division Av & Hooper St
40.70691254,-73.95441667,3073.0,Division Ave & Hooper St
40.70706456,-74.00731853,264.0,Maiden Ln & Pearl St
40.70708701,-73.95796783,3075.0,Division Ave & Marcy Ave
40.70717936,-74.00887308,360.0,William St & Pine St
40.7076449441757,-73.96841526031494,282.0,Kent Ave & S 11 St
40.70767788,-73.94016171,3074.0,Montrose Ave & Bushwick Ave
40.707731483954696,-73.93452286720277,3636.0,Expansion Warehouse 333 Johnson Ave
40.707873,-74.00166999999999,279.0,Peck Slip & Front St
40.70823502,-74.00530063,306.0,Cliff St & Fulton St
40.70823502,-74.00530063,306.0,Cliff St & Fulton St_1
40.70827295,-73.96834101,282.0,Kent Ave & S 11 St
40.70831794366396,-74.0050408244133,3701.0,Cliff St & Fulton St
40.70834698,-74.01713445,363.0,West Thames St
40.70853074,-73.96408963,443.0,Bedford Ave & S 9 St
40.70861098096821,-73.92850399017334,3266.0,Kiosk in a box Deployment
40.70862144,-74.00722156,376.0,John St & William St
40.70870368,-73.9448625,3076.0,Scholes St & Manhattan Ave
40.70877084,-73.95095259,3077.0,Stagg St & Union Ave
40.70905623,-74.01043382,195.0,Liberty St & Broadway
40.70924826276157,-73.96063148975372,3078.0,Broadway & Roebling St
40.70925562,-73.95982218,3078.0,Broadway & Roebling St
40.709340000000005,-73.95608,3080.0,S 4 St & Rodney St
40.70955958,-74.00653609,316.0,Fulton St & William St
40.70965083364061,-74.0686011314392,3426.0,JCBS Depot
40.710108700000006,-74.0858489,3188.0,NJCU
40.71015471094912,-73.98453533649443,3683.0,Smart Cities Conference
40.71036854235229,-73.94705951213838,3454.0,Leonard St & Maujer St
40.71044554,-73.96525063,389.0,Broadway & Berry St
40.710451,-73.960876,532.0,S 5 Pl & S 4 St
40.710451,-73.960876,532.0,S 5 Pl & S 5 St
40.710699946313866,-74.00354146957396,3489.0,Gold St & Frankfort St
40.71076228,-73.99400398,408.0,Market St & Cherry St
40.71103537,-73.94714303,3079.0,Leonard St & Grand St
40.711065999999995,-74.009447,319.0,Fulton St & Broadway
40.71117416,-74.00016545,82.0,St James Pl & Pearl St
40.71117444,-73.99682619,2009.0,Catherine St & Monroe St
40.711242299999995,-74.0557013,3192.0,Liberty Light Rail
40.71146364,-74.00552427,224.0,Spruce St & Nassau St
40.711512,-74.01575600000001,3002.0,South End Ave & Liberty St
40.71167351,-73.95141312,3082.0,Hope St & Union Ave
40.71173107,-73.99193043,331.0,Pike St & Monroe St
40.711863,-73.944024,3081.0,Graham Ave & Grand St
40.71219906,-73.97948148,332.0,Cherry St
40.7124188237569,-74.03852552175522,3267.0,Morris Canal
40.71247661,-73.94100005,3083.0,Bushwick Ave & Powers St
40.71260486,-73.96264403,481.0,S 3 St & Bedford Ave
40.71269042,-73.98776323,340.0,Madison St & Clinton St
40.71273266,-74.0046073,387.0,Centre St & Chambers St
40.712774200000005,-74.03648570000001,3214.0,Essex Light Rail
40.71285887,-73.96590294,460.0,S 4 St & Wythe Ave
40.71286844,-73.95698119,471.0,Grand St & Havemeyer St
40.71291224,-74.01020234,417.0,Barclay St & Church St
40.71307916,-73.99851193,308.0,St James Pl & Oliver St
40.713126,-73.984844,291.0,Madison St & Montgomery St
40.71334184275907,-74.00935515761375,3690.0,Park Pl & Church St
40.71335226222875,-73.9491033554077,3453.0,Devoe St & Lorimer St
40.71346382669195,-74.06285852193831,3268.0,Lafayette Park
40.71348658,-73.94792458,3084.0,Devoe St & Leonard St
40.71406667,-73.99293911,295.0,Pike St & E Broadway
40.71413089,-73.99704679999999,296.0,Division St & Bowery
40.71413311,-73.95234386,3087.0,Metropolitan Ave & Meeker Ave
40.7141454,-74.0335519,3184.0,Paulus Hook
40.714215,-73.981346,502.0,Henry St & Grand St
40.71427487,-73.98990025,307.0,Canal St & Rutgers St
40.71435836870427,-74.06661093235016,3277.0,Communipaw & Berry Lane
40.71450451,-74.00562789,330.0,Reade St & Broadway
40.71458403535893,-74.04281705617905,3276.0,Marin Light Rail
40.714690000000004,-73.95739,3085.0,Roebling St & N 4 St
40.71473993,-74.00910627,152.0,Warren St & Church St
40.714824504192755,-74.04298067092896,3276.0,Marin Light Rail
40.71485150526252,-74.01122331619263,3461.0,Murray St & Greenwich St
40.71494807,-74.00234482,386.0,Centre St & Worth St
40.7149787,-74.013012,309.0,Murray St & West St
40.715143,-73.944507,3086.0,Graham Ave & Conselyea St
40.71517767732029,-74.03768330812454,3681.0,Grand St
40.715337899999994,-74.01658354,327.0,Vesey Pl & River Terrace
40.71534825,-73.96024116,539.0,Metropolitan Ave & Bedford Ave
40.71542197,-74.01121978,147.0,Greenwich St & Warren St
40.71559509,-73.9870295,350.0,Clinton St & Grand St
40.715815500000005,-73.99422366,412.0,Forsyth St & Canal St
40.71602118,-73.99974372,355.0,Bayard St & Baxter St
40.71605866,-73.99190759,361.0,Allen St & Hester St
40.7160751,-73.95202900000001,3088.0,Union Ave & Jackson St
40.71622644,-73.98261206,356.0,Bialystoker Pl & Delancey St
40.7162469,-74.0334588,3183.0,Exchange Place
40.71625008,-74.0091059,146.0,Hudson St & Reade St
40.716380319735606,-73.94821286201476,3456.0,Jackson St & Leonard St
40.71644423134479,-73.9823305606842,3245.0,NYCBS DEPOT - DELANCEY
40.71649,-74.04105,3481.0,York St
40.71653978099194,-74.0496379137039,3205.0,JC Medical Center
40.716633,-73.981933,3019.0,NYCBS Depot - DEL
40.716887,-73.96319799999999,2002.0,Wythe Ave & Metropolitan Ave
40.716909780459645,-73.98383796215056,3250.0,NYCBS Depot - PIT
40.7169811,-73.94485918,3094.0,Graham Ave & Withers St
40.7172274,-73.98802084,311.0,Norfolk St & Broome St
40.717290000000006,-73.996375,263.0,Elizabeth St & Hester St
40.717318403855785,-73.9482021331787,3089.0,Leonard St & Meeker Ave
40.71739973,-73.98016555,342.0,Columbia St & Rivington St
40.71745169,-73.95850939,3093.0,N 6 St & Bedford Ave
40.71748752,-74.0104554,276.0,Duane St & Greenwich St
40.71754834,-74.01322069,426.0,West St & Chambers St
40.717571,-74.005549,320.0,Leonard St & Church St
40.71759081805981,-73.99622440338135,263.0,Elizabeth St & Hester St
40.71764,-73.94882,3091.0,Frost St & Meeker St
40.717732500000004,-74.04384499999999,3185.0,City Hall
40.71774592,-73.95600096,3090.0,N 8 St & Driggs Ave
40.71782143,-73.97628939,341.0,Stanton St & Mangin St
40.71816969454208,-73.95520135760306,3715.0,Driggs Ave & N 9 St
40.71821129999999,-74.08363940000001,3191.0,Union St
40.71835519823214,-74.03891444206238,3275.0,Columbus Drive
40.71848892,-74.047726625,3213.0,Van Vorst Park
40.71850211,-73.98329859,349.0,Rivington St & Ridge St
40.71870987,-74.0090009,249.0,Harrison St & Hudson St
40.718821999999996,-73.99596,3435.0,Grand St & Elizabeth St
40.71893904,-73.99266288,531.0,Forsyth St & Broome St
40.7190095,-73.95852515,3092.0,Berry St & N 8 St
40.71907891179564,-73.94223690032959,3430.0,Richardson St & N Henry St
40.71910537,-73.99973337,268.0,Howard St & Centre St
40.71911552,-74.00666661,79.0,Franklin St & W Broadway
40.71915571696044,-73.94885390996933,3452.0,Bayard St & Leonard St
40.71921585,-73.94244690000001,3097.0,N Henry St & Richardson St
40.71924,-73.95241999999999,3096.0,Union Ave & N 12 St
40.71925170000001,-74.034234,3639.0,Harborside
40.71925170740989,-74.03423398733139,3197.0,Harborsid
40.71925170740989,-74.03423398733139,3197.0,Hs Don't Use
40.71926081,-73.98178024,400.0,Pitt St & Stanton St
40.7192789,-74.0424515,3186.0,Grove St PATH
40.71928,-73.94861,3098.0,Leonard St & Bayard St
40.71928220070703,-74.07126188278198,3280.0,Astor Place
40.71929301,-73.94500379,3095.0,Graham Ave & Herbert St
40.71939226,-74.00247214,257.0,Lispenard St & Broadway
40.71946109443547,-74.04294312000275,3186.0,Grove St PATH
40.71958611647166,-74.0431174635887,3186.0,Grove St PATH
40.72015227023285,-74.01036500930786,329.0,Greenwich St & North Moore St
40.72019521437465,-74.0103006362915,3664.0,North Moore St & Greenwich St
40.72019576,-73.98997825,401.0,Allen St & Rivington St
40.72036775298455,-73.96165072917937,3016.0,Kent Ave & N 7 St
40.72043411,-74.01020609,329.0,Greenwich St & N Moore St
40.72057658,-73.96150225,3104.0,Kent Ave & N 7 St
40.72057658,-73.96150225,3104.0,KentAve&N7 St
40.72066442,-73.98517977,410.0,Suffolk St & Stanton St
40.720725534125954,-73.9612591266632,3016.0,Kent Ave & N 7 St
40.72079821,-73.95484712,3101.0,N 12 St & Bedford Ave
40.72082834,-73.97793172,302.0,Avenue D & E 3 St
40.720873600000004,-73.98085795,150.0,E 2 St & Avenue C
40.72110063,-73.99192540000001,473.0,Rivington St & Chrystie St
40.721123600000006,-74.03805095,3187.0,Warren St
40.721319,-74.010065,3436.0,Greenwich St & Hubert St
40.72146256229816,-73.94800901412964,3449.0,Eckford St & Engert Ave
40.72152240339303,-73.94898265600203,3099.0,Leonard St & Manhattan Ave
40.72152515,-74.046304543,3211.0,Newark Ave
40.72153267,-73.95782357,3103.0,N 11 St & Wythe Ave
40.72163014263835,-74.04996782541275,3279.0,Dixon Mills
40.72165072487999,-74.04288411140442,3273.0,Manila & 1st
40.72165481,-74.00234737,2010.0,Grand St & Greene St
40.72179134,-73.95041540000001,3102.0,Driggs Ave & Lorimer St
40.72185379,-74.00771779,248.0,Laight St & Hudson St
40.722055,-73.989111,312.0,Allen St & E Houston St
40.722055,-73.989111,312.0,Allen St & Stanton St
40.72210378668603,-73.99724900722505,151.0,Cleveland Pl & Spring St
40.72217444,-73.98368779,301.0,E 2 St & Avenue B
40.72228087,-73.97668709,411.0,E 6 St & Avenue D
40.72229346,-73.99147535,265.0,Stanton St & Chrystie St
40.72243797,-74.00566443,377.0,6 Ave & Canal St
40.72248188638219,-73.95921930670737,3693.0,N 11 St & Kent Ave
40.722852,-73.959114,3014.0,3969.TEMP (Bike The Branches - Central Branch)
40.72299208,-73.97995466,393.0,E 5 St & Avenue C
40.72307749068673,-73.98583620786667,3656.0,E 2 St & Avenue A
