endstationlatitude,endstationlongitude,endstationid,endstationname,startstationid
40.6763744,-74.00324957,3395.0,Henry St & W 9 St,2465
40.6763744,-74.00324957,3395.0,Henry St & W 9 St [old],163
40.6763947,-73.99869893,3397.0,Court St & Nelson St,19455
40.676519799999994,-73.9596082,3562.0,Classon Ave & St Marks Ave,11753
40.6765304,-73.97846879,3339.0,Berkeley Pl & 6 Ave,20972
40.6767,-73.969024,3576.0,Park Pl & Vanderbilt Ave,16073
40.6769694,-73.96579,3574.0,Prospect Pl & Underhill Ave,8985
40.6769993,-74.00647134,3394.0,Columbia St & W 9 St,4174
40.67716489469059,-73.97382795810701,3663.0,Sterling Pl & 7 Ave,13338
40.677236,-74.015665,3348.0,Coffey St & Conover St,12043
40.6772744,-73.98282002,3335.0,Union St & 4 Ave,30895
40.6773429,-74.01275056,3347.0,Van Brunt St & Wolcott St,17410
40.67759206937376,-73.95563721656801,3673.0,Dean St & Franklin Ave,6953
40.67761470000001,-73.97324283,3416.0,7 Ave & Park Pl,20702
40.6777287,-73.99364123,3381.0,3 St & Hoyt St,14183
40.6777747,-73.9529322,3548.0,Pacific St & Bedford Ave,638
40.677774799999995,-74.0094613,3342.0,Pioneer St & Richards St,7619
40.678045000000004,-73.962408,3549.0,Grand Ave & Bergen St,10448
40.6783563,-74.00014502,3396.0,Clinton St & 4 Place,23622
40.6786115,-73.99037292,3377.0,Carroll St & Bond St,21845
40.678724200000005,-73.99599099,3384.0,Smith St & 3 St,21438
40.67890679,-73.94142771,3041.0,Kingston Ave & Herkimer St,13088
40.679043,-74.011169,3344.0,Pioneer St & Van Brunt St,16704
40.67909799721684,-73.98765474557877,3407.0,Union St & Nevins St,22917
40.67919439999999,-73.95879029999999,3546.0,Pacific St & Classon Ave,3528
40.67927879999999,-73.98154004,3419.0,Douglass St & 4 Ave,24840
40.6793307,-73.97519523,3415.0,Prospect Pl & 6 Ave,23541
40.6794268,-73.92989109999999,3042.0,Fulton St & Utica Ave,17346
40.67943270000001,-74.00785041,3393.0,Richards St & Delavan St,6926
40.6794388,-73.96804379999999,3558.0,Bergen St & Vanderbilt Ave,14859
40.6795766,-73.97854971,3417.0,Baltic St & 5 Ave,30716
40.6800105,-73.938475,3044.0,Albany Ave & Fulton St,6289
40.6802133,-73.98432695,3420.0,Douglass St & 3 Ave,28337
40.680342423,-73.9557689392,396.0,Lefferts Pl & Franklin Ave,28713
40.680356084043396,-73.94767910242079,3249.0,Verona Pl & Fulton St,15292
40.6804836,-73.9646795,3544.0,Underhill Ave & Pacific St,9783
40.680611,-73.99475825,3382.0,Carroll St & Smith St,40677
40.68061768455451,-73.94624948501588,3229.0,Marcy Ave & MacDonough St,367
40.680944723477296,-73.97567331790923,3414.0,Bergen St & Flatbush Ave,28894
40.6809591,-73.99905709,3386.0,1 Pl & Clinton St,17865
40.68097410000001,-73.97100970000001,3537.0,Carlton Ave & Dean St,10764
40.6809833854,-73.9500479759,437.0,Macon St & Nostrand Ave,41081
40.681211700000006,-74.00860912,3392.0,Commerce St & Van Brunt St,9669
40.6814598,-73.934903,3043.0,Lewis Ave & Decatur St,9048
40.68199044270703,-73.99079024791719,3332.0,Degraw St & Hoyt St,13569
40.68216564,-73.95399026,436.0,Hancock St & Bedford Ave,15570
40.68223166,-73.9614583,365.0,Fulton St & Grand Ave,28287
40.682368700000005,-73.944118,3047.0,Halsey St & Tompkins Ave,17795
40.682601,-73.938037,3046.0,Marcus Garvey Blvd & Macon St,13577
40.6827549,-73.98258555,3413.0,Wyckoff St & 3 Ave,18978
40.6828003,-73.99990419,3388.0,President St & Henry St,19486
40.6829151,-73.99318208,3329.0,Degraw St & Smith St,22005
40.6830456,-74.00348559,3389.0,Carroll St & Columbia St,23128
40.683048,-73.964915,384.0,Fulton St & Washington Ave,28983
40.683116399999996,-73.99785267,3321.0,Clinton St & Union St,23923
40.68312489,-73.97895137,467.0,Dean St & 4 Ave,63705
40.683222541615955,-73.9738118648529,3719.0,S Portland Ave & Atlantic Ave,257
40.68323865460341,-73.96599590778352,3637.0,Fulton St & Waverly Ave,17710
40.68382604,-73.97632328,83.0,Atlantic Ave & Fort Greene Pl,43868
40.684020000000004,-73.94977,3048.0,Putnam Ave & Nostrand Ave,12285
40.68415748,-73.96922273,397.0,Fulton St & Clermont Ave,21774
40.6843549,-73.98901629,3421.0,Hoyt St & Warren St,10464
40.684568299999995,-73.95881081,289.0,Monroe St & Classon Ave,13768
40.68461653897949,-73.98721285164356,3720.0,Wyckoff St & Bond St,72
40.684751399999996,-73.99917254,3315.0,Henry St & Degraw St,36162
40.684868747593924,-74.02544975280763,3036.0,8D OPS 01,8
40.68488,-73.96304,3049.0,Cambridge Pl & Gates Ave,17763
40.6849668,-73.98620772,3411.0,Bond St & Bergen St,25751
40.6849894,-73.99440329,3303.0,Butler St & Court St,20007
40.68506807308177,-73.97790759801863,3429.0,Hanson Pl & Ashland Pl,89639
40.68512559515415,-74.02535319328308,3479.0,Picnic Point,8821
40.6851443,-73.95380904,344.0,Monroe St & Bedford Ave,26404
40.6851532,-73.94111,3050.0,Putnam Ave & Throop Ave,15477
40.68515959989177,-73.97711366415024,3222.0,Hanson Pl & St Felix St,16021
40.6853761,-73.98302136,3412.0,Pacific St & Nevins St,20482
40.68539567,-73.97431458,353.0,S Portland Ave & Hanson Pl,29233
40.6859296,-74.00242364,3422.0,Columbia St & Degraw St,25564
40.686175799999994,-73.99645295,3308.0,Kane St & Clinton St,27073
40.686203000000006,-73.944694,3241.0,Monroe St & Tompkins Ave,17583
