startstationname,endstationname,value,source,target
1 Ave & E 110 St,1 Ave & E 110 St,348,733,733
1 Ave & E 110 St,2 Ave & E 96 St,1700,733,568
1 Ave & E 110 St,E 118 St & 1 Ave,272,733,728
1 Ave & E 110 St,E 85 St & 3 Ave,307,733,450
1 Ave & E 110 St,E 91 St & 2 Ave,399,733,554
1 Ave & E 110 St,E 93 St & 2 Ave,277,733,545
1 Ave & E 110 St,Lenox Ave & W 111 St,729,733,757
1 Ave & E 110 St,Lexington Ave & E 111 St,730,733,739
1 Ave & E 110 St,Park Ave & E 124 St,365,733,744
1 Ave & E 110 St,Pleasant Ave & E 116 St,784,733,734
1 Ave & E 15 St,1 Ave & E 18 St,513,282,325
1 Ave & E 15 St,1 Ave & E 30 St,777,282,316
1 Ave & E 15 St,E 15 St & 3 Ave,990,282,86
1 Ave & E 15 St,E 17 St & Broadway,843,282,275
1 Ave & E 15 St,E 20 St & FDR Drive,1035,282,264
1 Ave & E 15 St,E 23 St & 1 Ave,1184,282,320
1 Ave & E 15 St,E 25 St & 1 Ave,493,282,25
1 Ave & E 15 St,E 25 St & 2 Ave,451,282,285
1 Ave & E 15 St,E 27 St & 1 Ave,485,282,332
1 Ave & E 15 St,E 39 St & 2 Ave,427,282,296
1 Ave & E 16 St,1 Ave & E 30 St,4227,283,316
1 Ave & E 16 St,Broadway & E 14 St,2615,283,79
1 Ave & E 16 St,Broadway & E 22 St,2321,283,186
1 Ave & E 16 St,E 15 St & 3 Ave,5260,283,86
1 Ave & E 16 St,E 17 St & Broadway,4594,283,275
1 Ave & E 16 St,E 20 St & FDR Drive,5746,283,264
1 Ave & E 16 St,E 23 St & 1 Ave,5113,283,320
1 Ave & E 16 St,E 25 St & 1 Ave,3345,283,25
1 Ave & E 16 St,E 25 St & 2 Ave,2458,283,285
1 Ave & E 16 St,E 27 St & 1 Ave,3822,283,332
1 Ave & E 18 St,1 Ave & E 30 St,2938,325,316
1 Ave & E 18 St,Broadway & E 14 St,1979,325,79
1 Ave & E 18 St,Broadway & E 22 St,3457,325,186
1 Ave & E 18 St,E 15 St & 3 Ave,4205,325,86
1 Ave & E 18 St,E 17 St & Broadway,5322,325,275
1 Ave & E 18 St,E 20 St & FDR Drive,4365,325,264
1 Ave & E 18 St,E 20 St & Park Ave,2953,325,281
1 Ave & E 18 St,E 23 St & 1 Ave,1890,325,320
1 Ave & E 18 St,E 27 St & 1 Ave,2366,325,332
1 Ave & E 18 St,W 21 St & 6 Ave,2000,325,214
1 Ave & E 30 St,1 Ave & E 16 St,1921,316,283
1 Ave & E 30 St,Broadway & W 32 St,2696,316,276
1 Ave & E 30 St,E 20 St & 2 Ave,2320,316,238
1 Ave & E 30 St,E 32 St & Park Ave,3091,316,249
1 Ave & E 30 St,E 39 St & 2 Ave,2390,316,296
1 Ave & E 30 St,Pershing Square North,4625,316,297
1 Ave & E 30 St,W 31 St & 7 Ave,5407,316,164
1 Ave & E 30 St,W 33 St & 7 Ave,4137,316,269
1 Ave & E 30 St,W 38 St & 8 Ave,2198,316,302
1 Ave & E 30 St,W 41 St & 8 Ave,3074,316,254
1 Ave & E 44 St,1 Ave & E 62 St,2063,232,445
1 Ave & E 44 St,1 Ave & E 68 St,2138,232,444
1 Ave & E 44 St,1 Ave & E 78 St,1965,232,443
1 Ave & E 44 St,E 47 St & 2 Ave,1445,232,21
1 Ave & E 44 St,E 47 St & Park Ave,1485,232,147
1 Ave & E 44 St,E 51 St & 1 Ave,1549,232,231
1 Ave & E 44 St,E 58 St & 1 Ave,1296,232,506
1 Ave & E 44 St,FDR Drive & E 35 St,2213,232,279
1 Ave & E 44 St,W 33 St & 7 Ave,1927,232,269
1 Ave & E 44 St,W 41 St & 8 Ave,2110,232,254
1 Ave & E 62 St,1 Ave & E 68 St,9214,445,444
1 Ave & E 62 St,1 Ave & E 78 St,5449,445,443
1 Ave & E 62 St,3 Ave & E 62 St,1565,445,437
1 Ave & E 62 St,E 47 St & Park Ave,1738,445,147
1 Ave & E 62 St,E 52 St & 2 Ave,2029,445,220
1 Ave & E 62 St,E 72 St & York Ave,2109,445,458
1 Ave & E 62 St,E 74 St & 1 Ave,1926,445,622
1 Ave & E 62 St,E 84 St & 1 Ave,2049,445,451
1 Ave & E 62 St,E 85 St & 3 Ave,1559,445,450
1 Ave & E 62 St,Queens Plaza North & Crescent St,2305,445,433
1 Ave & E 68 St,1 Ave & E 62 St,4792,444,445
1 Ave & E 68 St,1 Ave & E 78 St,6028,444,443
1 Ave & E 68 St,3 Ave & E 62 St,4261,444,437
1 Ave & E 68 St,E 47 St & Park Ave,4270,444,147
1 Ave & E 68 St,E 52 St & 2 Ave,2702,444,220
1 Ave & E 68 St,E 84 St & 1 Ave,3236,444,451
1 Ave & E 68 St,E 85 St & 3 Ave,3175,444,450
1 Ave & E 68 St,E 88 St & 1 Ave,2562,444,537
1 Ave & E 68 St,Lexington Ave & E 63 St,5706,444,457
1 Ave & E 68 St,Pershing Square North,2952,444,297
1 Ave & E 78 St,1 Ave & E 62 St,2457,443,445
1 Ave & E 78 St,1 Ave & E 68 St,2764,443,444
1 Ave & E 78 St,1 Ave & E 78 St,1976,443,443
1 Ave & E 78 St,5 Ave & E 78 St,2039,443,446
1 Ave & E 78 St,E 47 St & Park Ave,2312,443,147
1 Ave & E 78 St,E 77 St & 3 Ave,3252,443,456
1 Ave & E 78 St,E 84 St & 1 Ave,3422,443,451
1 Ave & E 78 St,E 85 St & 3 Ave,5540,443,450
1 Ave & E 78 St,E 85 St & York Ave,2049,443,452
1 Ave & E 78 St,E 88 St & 1 Ave,2226,443,537
1 Ave & E 94 St,1 Ave & E 68 St,908,561,444
1 Ave & E 94 St,1 Ave & E 94 St,1065,561,561
1 Ave & E 94 St,E 102 St & 1 Ave,1597,561,600
1 Ave & E 94 St,E 102 St & Park Ave,848,561,612
1 Ave & E 94 St,E 106 St & 1 Ave,558,561,640
1 Ave & E 94 St,E 72 St & York Ave,1158,561,458
1 Ave & E 94 St,E 85 St & 3 Ave,1081,561,450
1 Ave & E 94 St,E 97 St & 3 Ave,589,561,558
1 Ave & E 94 St,Madison Ave & E 99 St,699,561,594
1 Ave & E 94 St,Park Ave & E 124 St,766,561,744
1 Pl & Clinton St,Atlantic Ave & Furman St,489,635,182
1 Pl & Clinton St,Bergen St & Smith St,509,635,658
1 Pl & Clinton St,Carroll St & Smith St,445,635,631
1 Pl & Clinton St,Clinton St & Joralemon St,1828,635,10
1 Pl & Clinton St,Congress St & Clinton St,908,635,657
1 Pl & Clinton St,Court St & State St,868,635,652
1 Pl & Clinton St,Fulton St & Adams St,457,635,688
1 Pl & Clinton St,Henry St & Atlantic Ave,378,635,18
1 Pl & Clinton St,Schermerhorn St & Court St,423,635,505
1 Pl & Clinton St,Smith St & 3 St,418,635,633
10 Ave & W 28 St,8 Ave & W 31 St,483,266,299
10 Ave & W 28 St,Broadway & E 22 St,245,266,186
10 Ave & W 28 St,Broadway & W 24 St,217,266,223
10 Ave & W 28 St,W 16 St & The High Line,197,266,27
10 Ave & W 28 St,W 20 St & 7 Ave,222,266,123
10 Ave & W 28 St,W 22 St & 8 Ave,251,266,230
10 Ave & W 28 St,W 24 St & 7 Ave,295,266,225
10 Ave & W 28 St,W 26 St & 8 Ave,549,266,272
10 Ave & W 28 St,W 27 St & 7 Ave,501,266,221
10 Ave & W 28 St,W 38 St & 8 Ave,189,266,302
10 Hudson Yards,1 Ave & E 30 St,236,689,316
10 Hudson Yards,11 Ave & W 59 St,102,689,309
10 Hudson Yards,2 Ave & E 31 St,112,689,307
10 Hudson Yards,6 Ave & W 33 St,185,689,284
10 Hudson Yards,8 Ave & W 31 St,217,689,299
10 Hudson Yards,Broadway & E 22 St,124,689,186
10 Hudson Yards,Pershing Square North,162,689,297
10 Hudson Yards,W 16 St & 8 Ave,98,689,883
10 Hudson Yards,W 42 St & Dyer Ave,116,689,499
10 Hudson Yards,West St & Chambers St,166,689,206
10 St & 5 Ave,10 St & 5 Ave,304,567,567
10 St & 5 Ave,10 St & 7 Ave,502,567,555
10 St & 5 Ave,14 St & 5 Ave,748,567,569
10 St & 5 Ave,14 St & 7 Ave,377,567,559
10 St & 5 Ave,5 Ave & 3 St,478,567,617
10 St & 5 Ave,Baltic St & 5 Ave,407,567,666
10 St & 5 Ave,Carroll St & 5 Ave,464,567,613
10 St & 5 Ave,Carroll St & 6 Ave,297,567,610
10 St & 5 Ave,Prospect Park West & 8 St,263,567,549
10 St & 5 Ave,West Drive & Prospect Park West,486,567,672
10 St & 7 Ave,10 St & 5 Ave,487,555,567
10 St & 7 Ave,14 St & 5 Ave,502,555,569
10 St & 7 Ave,14 St & 7 Ave,1524,555,559
10 St & 7 Ave,3 St & 7 Ave,1064,555,614
10 St & 7 Ave,3 St & Prospect Park West,503,555,603
10 St & 7 Ave,6 Ave & 12 St,751,555,562
10 St & 7 Ave,Berkeley Pl & 7 Ave,1363,555,595
10 St & 7 Ave,Grand Army Plaza & Plaza St West,537,555,598
10 St & 7 Ave,Plaza St West & Flatbush Ave,773,555,667
10 St & 7 Ave,West Drive & Prospect Park West,933,555,672
11 Ave & W 27 St,11 Ave & W 27 St,2393,235,235
11 Ave & W 27 St,8 Ave & W 31 St,5743,235,299
11 Ave & W 27 St,W 16 St & The High Line,2217,235,27
11 Ave & W 27 St,W 21 St & 6 Ave,2542,235,214
11 Ave & W 27 St,W 22 St & 8 Ave,2609,235,230
11 Ave & W 27 St,W 24 St & 7 Ave,4152,235,225
11 Ave & W 27 St,W 25 St & 6 Ave,2759,235,242
11 Ave & W 27 St,W 26 St & 8 Ave,7925,235,272
11 Ave & W 27 St,W 27 St & 7 Ave,2558,235,221
11 Ave & W 27 St,West St & Chambers St,3808,235,206
11 Ave & W 41 St,11 Ave & W 27 St,2585,255,235
11 Ave & W 41 St,11 Ave & W 41 St,2117,255,255
11 Ave & W 41 St,8 Ave & W 33 St,8921,255,267
11 Ave & W 41 St,Broadway & W 41 St,3121,255,241
11 Ave & W 41 St,Pershing Square North,3790,255,297
11 Ave & W 41 St,W 20 St & 11 Ave,2057,255,236
11 Ave & W 41 St,W 34 St & 11 Ave,3810,255,304
11 Ave & W 41 St,W 38 St & 8 Ave,2169,255,302
11 Ave & W 41 St,W 42 St & 8 Ave,6839,255,308
11 Ave & W 41 St,West St & Chambers St,2701,255,206
11 Ave & W 59 St,11 Ave & W 59 St,2334,309,309
11 Ave & W 59 St,12 Ave & W 40 St,3048,309,292
11 Ave & W 59 St,8 Ave & W 33 St,3690,309,267
11 Ave & W 59 St,Broadway & W 58 St,2310,309,234
11 Ave & W 59 St,W 20 St & 11 Ave,1928,309,236
11 Ave & W 59 St,W 34 St & 11 Ave,1921,309,304
11 Ave & W 59 St,W 42 St & 8 Ave,3086,309,308
11 Ave & W 59 St,W 42 St & Dyer Ave,3676,309,499
11 Ave & W 59 St,W 59 St & 10 Ave,2054,309,204
11 Ave & W 59 St,West St & Chambers St,2802,309,206
11 St & 35 Ave,11 St & 35 Ave,27,803,803
11 St & 35 Ave,21 St & 31 Dr,26,803,827
11 St & 35 Ave,21 St & 43 Ave,44,803,432
11 St & 35 Ave,21 St & Queens Plaza North,327,803,434
11 St & 35 Ave,34 Ave & 13 St,42,803,822
11 St & 35 Ave,35 Ave & 10 St,94,803,873
11 St & 35 Ave,36 Ave & 10 St,58,803,801
11 St & 35 Ave,44 Dr & 21 St,116,803,850
11 St & 35 Ave,44 Dr & Jackson Ave,46,803,430
11 St & 35 Ave,Queens Plaza North & Crescent St,304,803,433
11 St & 43 Ave,1 Ave & E 62 St,52,855,445
11 St & 43 Ave,11 St & 43 Ave,42,855,855
11 St & 43 Ave,21 St & 43 Ave,45,855,432
11 St & 43 Ave,21 St & Queens Plaza North,43,855,434
11 St & 43 Ave,27 St & Hunter St,53,855,853
11 St & 43 Ave,31 St & 23 Ave,47,855,762
11 St & 43 Ave,44 Dr & 21 St,62,855,850
11 St & 43 Ave,46 Ave & 5 St,53,855,428
11 St & 43 Ave,Queens Plaza North & Crescent St,74,855,433
11 St & 43 Ave,Vernon Blvd & 47 Rd,34,855,846
12 Ave & W 40 St,11 Ave & W 27 St,3213,292,235
12 Ave & W 40 St,12 Ave & W 40 St,9047,292,292
12 Ave & W 40 St,Little West St & 1 Pl,4109,292,329
12 Ave & W 40 St,Pier 40 - Hudson River Park,9479,292,519
12 Ave & W 40 St,Riverside Dr & W 72 St,3374,292,468
12 Ave & W 40 St,Riverside Dr & W 82 St,3262,292,471
12 Ave & W 40 St,South End Ave & Liberty St,3610,292,337
12 Ave & W 40 St,W 16 St & The High Line,4555,292,27
12 Ave & W 40 St,W 20 St & 11 Ave,5485,292,236
12 Ave & W 40 St,West St & Chambers St,14433,292,206
12 St & 4 Ave,12 St & 4 Ave,261,572,572
12 St & 4 Ave,2 Ave & 36 St - Citi Bike HQ at Industry City,200,572,719
12 St & 4 Ave,3 St & 3 Ave,306,572,623
12 St & 4 Ave,5 Ave & 3 St,206,572,617
12 St & 4 Ave,6 Ave & 12 St,339,572,562
12 St & 4 Ave,6 St & 7 Ave,421,572,546
12 St & 4 Ave,Carroll St & 6 Ave,238,572,610
12 St & 4 Ave,Dean St & 4 Ave,309,572,243
12 St & 4 Ave,Union St & 4 Ave,188,572,584
12 St & 4 Ave,West Drive & Prospect Park West,324,572,672
14 St & 5 Ave,10 St & 5 Ave,647,569,567
14 St & 5 Ave,14 St & 5 Ave,473,569,569
14 St & 5 Ave,14 St & 7 Ave,686,569,559
14 St & 5 Ave,4 Ave & 9 St,870,569,653
14 St & 5 Ave,5 Ave & 3 St,951,569,617
14 St & 5 Ave,7 St & 5 Ave,468,569,654
14 St & 5 Ave,Carroll St & 5 Ave,528,569,613
14 St & 5 Ave,Carroll St & 6 Ave,603,569,610
14 St & 5 Ave,Dean St & 4 Ave,491,569,243
14 St & 5 Ave,West Drive & Prospect Park West,1188,569,672
14 St & 7 Ave,10 St & 7 Ave,2282,559,555
14 St & 7 Ave,14 St & 5 Ave,643,559,569
14 St & 7 Ave,14 St & 7 Ave,586,559,559
14 St & 7 Ave,3 St & 7 Ave,583,559,614
14 St & 7 Ave,5 Ave & 3 St,585,559,617
14 St & 7 Ave,6 Ave & 9 St,845,559,553
14 St & 7 Ave,Berkeley Pl & 7 Ave,748,559,595
14 St & 7 Ave,Grand Army Plaza & Plaza St West,842,559,598
14 St & 7 Ave,Plaza St West & Flatbush Ave,701,559,667
14 St & 7 Ave,West Drive & Prospect Park West,1419,559,672
19 St & 24 Ave,19 St & 24 Ave,304,760,760
19 St & 24 Ave,24 Ave & 26 St,142,760,752
19 St & 24 Ave,24 Ave & 29 St,197,760,759
19 St & 24 Ave,31 St & 23 Ave,774,760,762
19 St & 24 Ave,31 St & Astoria Blvd,191,760,753
19 St & 24 Ave,31 St & Hoyt Ave N,1267,760,754
19 St & 24 Ave,32 St & 30 Ave,106,760,888
19 St & 24 Ave,Crescent St & Ditmars Blvd,142,760,766
19 St & 24 Ave,Ditmars Blvd & 19 St,207,760,768
19 St & 24 Ave,Vernon Blvd & 30 Rd,238,760,845
2 Ave  & E 104 St,2 Ave  & E 104 St,237,674,674
2 Ave  & E 104 St,2 Ave & E 96 St,1263,674,568
2 Ave  & E 104 St,2 Ave & E 99 St,202,674,587
2 Ave  & E 104 St,Central Park North & Adam Clayton Powell Blvd,197,674,624
2 Ave  & E 104 St,E 103 St & Lexington Ave,819,674,629
2 Ave  & E 104 St,E 110 St & Madison Ave,170,674,650
2 Ave  & E 104 St,E 55 St & 2 Ave,151,674,169
2 Ave  & E 104 St,E 81 St & 3 Ave,190,674,449
2 Ave  & E 104 St,E 85 St & 3 Ave,327,674,450
2 Ave  & E 104 St,E 91 St & 2 Ave,479,674,554
2 Ave & 36 St - Citi Bike HQ at Industry City,12 St & 4 Ave,245,719,572
2 Ave & 36 St - Citi Bike HQ at Industry City,14 St & 5 Ave,266,719,569
2 Ave & 36 St - Citi Bike HQ at Industry City,2 Ave & 36 St - Citi Bike HQ at Industry City,693,719,719
2 Ave & 36 St - Citi Bike HQ at Industry City,3 Ave & 14 St,659,719,574
2 Ave & 36 St - Citi Bike HQ at Industry City,3 St & 3 Ave,205,719,623
2 Ave & 36 St - Citi Bike HQ at Industry City,39 St & 2 Ave - Citi Bike HQ at Industry City,434,719,718
2 Ave & 36 St - Citi Bike HQ at Industry City,4 Ave & 9 St,183,719,653
2 Ave & 36 St - Citi Bike HQ at Industry City,Clinton St & Union St,190,719,571
2 Ave & 36 St - Citi Bike HQ at Industry City,NYCBS Depot - GOW,202,719,682
2 Ave & 36 St - Citi Bike HQ at Industry City,West Drive & Prospect Park West,248,719,672
2 Ave & 9 St,10 St & 5 Ave,138,651,567
2 Ave & 9 St,2 Ave & 9 St,141,651,651
2 Ave & 9 St,3 St & 3 Ave,462,651,623
2 Ave & 9 St,4 Ave & 9 St,257,651,653
2 Ave & 9 St,7 St & 5 Ave,155,651,654
2 Ave & 9 St,Bergen St & Smith St,184,651,658
2 Ave & 9 St,Court St & Nelson St,134,651,647
2 Ave & 9 St,Fulton St & Broadway,190,651,108
2 Ave & 9 St,Lawrence St & Willoughby St,291,651,112
2 Ave & 9 St,Smith St & 9 St,402,651,648
2 Ave & E 104 St,2 Ave & E 104 St,272,675,675
2 Ave & E 104 St,2 Ave & E 96 St,2689,675,568
2 Ave & E 104 St,2 Ave & E 99 St,260,675,587
2 Ave & E 104 St,E 102 St & 1 Ave,291,675,600
2 Ave & E 104 St,E 103 St & Lexington Ave,833,675,629
2 Ave & E 104 St,E 81 St & 3 Ave,288,675,449
2 Ave & E 104 St,E 85 St & 3 Ave,333,675,450
2 Ave & E 104 St,E 91 St & 2 Ave,517,675,554
2 Ave & E 104 St,E 93 St & 2 Ave,417,675,545
2 Ave & E 104 St,Pleasant Ave & E 116 St,230,675,734
2 Ave & E 105 St,W 106 St & Central Park West,1,634,573
2 Ave & E 122 St,1 Ave & E 110 St,120,736,733
2 Ave & E 122 St,2 Ave & E 104 St,114,736,675
2 Ave & E 122 St,2 Ave & E 122 St,149,736,736
2 Ave & E 122 St,2 Ave & E 96 St,272,736,568
2 Ave & E 122 St,E 118 St & 1 Ave,136,736,728
2 Ave & E 122 St,E 123 St & Lexington Ave,318,736,741
2 Ave & E 122 St,E 91 St & 2 Ave,98,736,554
2 Ave & E 122 St,Lenox Ave & W 117 St,102,736,860
2 Ave & E 122 St,Park Ave & E 124 St,217,736,744
2 Ave & E 122 St,Pleasant Ave & E 116 St,173,736,734
2 Ave & E 31 St,1 Ave & E 16 St,2104,307,283
2 Ave & E 31 St,E 11 St & 2 Ave,2437,307,38
2 Ave & E 31 St,E 20 St & 2 Ave,2793,307,238
2 Ave & E 31 St,E 20 St & FDR Drive,2082,307,264
2 Ave & E 31 St,E 23 St & 1 Ave,2028,307,320
2 Ave & E 31 St,E 25 St & 2 Ave,2718,307,285
2 Ave & E 31 St,E 32 St & Park Ave,2766,307,249
2 Ave & E 31 St,Pershing Square North,2164,307,297
2 Ave & E 31 St,St Marks Pl & 2 Ave,2015,307,37
2 Ave & E 31 St,W 31 St & 7 Ave,4220,307,164
2 Ave & E 55 St,1 Ave & E 62 St,274,904,445
2 Ave & E 55 St,1 Ave & E 68 St,403,904,444
2 Ave & E 55 St,1 Ave & E 78 St,226,904,443
2 Ave & E 55 St,2 Ave & E 31 St,272,904,307
2 Ave & E 55 St,Broadway & W 56 St,206,904,245
2 Ave & E 55 St,E 39 St & 2 Ave,293,904,296
2 Ave & E 55 St,E 47 St & 2 Ave,354,904,21
2 Ave & E 55 St,E 47 St & Park Ave,250,904,147
2 Ave & E 55 St,E 58 St & 3 Ave,204,904,93
2 Ave & E 55 St,Pershing Square North,207,904,297
2 Ave & E 96 St,1 Ave & E 110 St,1301,568,733
2 Ave & E 96 St,1 Ave & E 68 St,778,568,444
2 Ave & E 96 St,2 Ave & E 104 St,1465,568,675
2 Ave & E 96 St,2 Ave & E 99 St,1140,568,587
2 Ave & E 96 St,E 102 St & 1 Ave,5448,568,600
2 Ave & E 96 St,E 106 St & 1 Ave,1367,568,640
2 Ave & E 96 St,E 85 St & 3 Ave,1152,568,450
2 Ave & E 96 St,E 91 St & 2 Ave,808,568,554
2 Ave & E 96 St,E 97 St & Madison Ave,1095,568,585
2 Ave & E 96 St,Madison Ave & E 99 St,1234,568,594
2 Ave & E 99 St,1 Ave & E 68 St,238,587,444
2 Ave & E 99 St,2 Ave & E 96 St,2081,587,568
2 Ave & E 99 St,2 Ave & E 99 St,463,587,587
2 Ave & E 99 St,E 102 St & 1 Ave,226,587,600
2 Ave & E 99 St,E 103 St & Lexington Ave,351,587,629
2 Ave & E 99 St,E 65 St & 2 Ave,218,587,626
2 Ave & E 99 St,E 75 St & 3 Ave,230,587,438
2 Ave & E 99 St,E 85 St & 3 Ave,434,587,450
2 Ave & E 99 St,E 91 St & 2 Ave,588,587,554
2 Ave & E 99 St,E 93 St & 2 Ave,334,587,545
21 St & 31 Dr,21 St & Hoyt Ave S,202,827,750
21 St & 31 Dr,21 St & Queens Plaza North,150,827,434
21 St & 31 Dr,31 Ave & 14 St,421,827,842
21 St & 31 Dr,31 St & Broadway,272,827,829
21 St & 31 Dr,Broadway & 12 St,212,827,825
21 St & 31 Dr,Crescent St & Broadway,137,827,828
21 St & 31 Dr,Queens Plaza North & Crescent St,227,827,433
21 St & 31 Dr,Vernon Blvd & 10 St,182,827,824
21 St & 31 Dr,Vernon Blvd & 30 Rd,535,827,845
21 St & 31 Dr,Vernon Blvd & 31 Ave,412,827,844
21 St & 36 Ave,21 St & 31 Dr,43,800,827
21 St & 36 Ave,21 St & 36 Ave,61,800,800
21 St & 36 Ave,21 St & Queens Plaza North,172,800,434
21 St & 36 Ave,34 Ave & 38 St,60,800,808
21 St & 36 Ave,36 Ave & 10 St,54,800,801
21 St & 36 Ave,40 Ave & 9 St,134,800,793
21 St & 36 Ave,Crescent St & 35 Ave,35,800,802
21 St & 36 Ave,Queens Plaza North & Crescent St,77,800,433
21 St & 36 Ave,Steinway St & 28 Ave,33,800,851
21 St & 36 Ave,Vernon Blvd & 10 St,40,800,824
21 St & 38 Ave,1 Ave & E 68 St,33,795,444
21 St & 38 Ave,21 St & 31 Dr,42,795,827
21 St & 38 Ave,21 St & Queens Plaza North,130,795,434
21 St & 38 Ave,28 St & 40 Ave,30,795,859
21 St & 38 Ave,34 Ave & 21 St,38,795,813
21 St & 38 Ave,36 Ave & 10 St,52,795,801
21 St & 38 Ave,40 Ave & 9 St,27,795,793
21 St & 38 Ave,46 Ave & 5 St,32,795,428
21 St & 38 Ave,Queens Plaza North & Crescent St,99,795,433
21 St & 38 Ave,Vernon Blvd & 30 Rd,38,795,845
21 St & 41 Ave,21 St & 41 Ave,278,500,500
21 St & 41 Ave,21 St & 43 Ave,140,500,432
21 St & 41 Ave,44 Dr & Jackson Ave,176,500,430
21 St & 41 Ave,45 Rd & 11 St,188,500,429
21 St & 41 Ave,46 Ave & 5 St,142,500,428
21 St & 41 Ave,9 St & 44 Rd,101,500,431
21 St & 41 Ave,Center Blvd & Borden Ave,103,500,424
21 St & 41 Ave,Jackson Ave & 46 Rd,111,500,425
21 St & 41 Ave,Queens Plaza North & Crescent St,216,500,433
21 St & 41 Ave,Vernon Blvd & 50 Ave,95,500,423
21 St & 43 Ave,1 Ave & E 62 St,215,432,445
21 St & 43 Ave,1 Ave & E 68 St,276,432,444
21 St & 43 Ave,1 Ave & E 78 St,319,432,443
21 St & 43 Ave,21 St & 43 Ave,200,432,432
21 St & 43 Ave,21 St & Queens Plaza North,203,432,434
21 St & 43 Ave,46 Ave & 5 St,614,432,428
21 St & 43 Ave,48 Ave & 5 St,193,432,426
21 St & 43 Ave,Jackson Ave & 46 Rd,178,432,425
21 St & 43 Ave,Queens Plaza North & Crescent St,394,432,433
21 St & 43 Ave,Vernon Blvd & 50 Ave,205,432,423
21 St & Hoyt Ave S,21 St & Hoyt Ave S,115,750,750
21 St & Hoyt Ave S,28 Ave & 35 St,88,750,852
21 St & Hoyt Ave S,31 St & 23 Ave,203,750,762
21 St & Hoyt Ave S,31 St & Astoria Blvd,373,750,753
21 St & Hoyt Ave S,31 St & Broadway,76,750,829
21 St & Hoyt Ave S,31 St & Hoyt Ave N,257,750,754
21 St & Hoyt Ave S,32 St & 30 Ave,89,750,888
21 St & Hoyt Ave S,Astoria Park S & Shore Blvd,144,750,751
21 St & Hoyt Ave S,Crescent St & 30 Ave,80,750,849
21 St & Hoyt Ave S,Ditmars Blvd & 19 St,94,750,768
21 St & Queens Plaza North,11 St & 35 Ave,258,434,803
21 St & Queens Plaza North,21 St & 43 Ave,373,434,432
21 St & Queens Plaza North,21 St & Queens Plaza North,391,434,434
21 St & Queens Plaza North,35 Ave & 10 St,552,434,873
21 St & Queens Plaza North,36 Ave & 10 St,376,434,801
21 St & Queens Plaza North,44 Dr & Jackson Ave,422,434,430
21 St & Queens Plaza North,45 Rd & 11 St,307,434,429
21 St & Queens Plaza North,46 Ave & 5 St,430,434,428
21 St & Queens Plaza North,Jackson Ave & 46 Rd,289,434,425
21 St & Queens Plaza North,Queens Plaza North & Crescent St,525,434,433
23 Ave & 27 St,19 St & 24 Ave,133,761,760
23 Ave & 27 St,23 Ave & 27 St,116,761,761
23 Ave & 27 St,24 Ave & 26 St,113,761,752
23 Ave & 27 St,31 St & 23 Ave,446,761,762
23 Ave & 27 St,31 St & Hoyt Ave N,88,761,754
23 Ave & 27 St,Astoria Park S & Shore Blvd,79,761,751
23 Ave & 27 St,Crescent St & 30 Ave,86,761,849
23 Ave & 27 St,Crescent St & Ditmars Blvd,115,761,766
23 Ave & 27 St,Ditmars Blvd & 19 St,212,761,768
23 Ave & 27 St,Steinway St & 23 Ave,66,761,764
24 Ave & 26 St,19 St & 24 Ave,150,752,760
24 Ave & 26 St,24 Ave & 26 St,169,752,752
24 Ave & 26 St,24 Ave & 29 St,127,752,759
24 Ave & 26 St,31 St & 23 Ave,966,752,762
24 Ave & 26 St,31 St & Astoria Blvd,90,752,753
24 Ave & 26 St,31 St & Hoyt Ave N,1097,752,754
24 Ave & 26 St,34 Ave & 21 St,153,752,813
24 Ave & 26 St,37 St & 24 Ave,96,752,758
24 Ave & 26 St,Crescent St & Ditmars Blvd,91,752,766
24 Ave & 26 St,Queens Plaza North & Crescent St,90,752,433
24 Ave & 29 St,19 St & 24 Ave,342,759,760
24 Ave & 29 St,24 Ave & 26 St,222,759,752
24 Ave & 29 St,24 Ave & 29 St,131,759,759
24 Ave & 29 St,31 St & 23 Ave,270,759,762
24 Ave & 29 St,31 St & Broadway,142,759,829
24 Ave & 29 St,31 St & Hoyt Ave N,252,759,754
24 Ave & 29 St,34 Ave & 38 St,148,759,808
24 Ave & 29 St,Astoria Park S & Shore Blvd,118,759,751
24 Ave & 29 St,Ditmars Blvd & 19 St,116,759,768
24 Ave & 29 St,Steinway St & 28 Ave,140,759,851
24 St & 41 Ave,1 Ave & E 62 St,129,792,445
24 St & 41 Ave,27 St & Hunter St,403,792,853
24 St & 41 Ave,31 Ave & 34 St,153,792,837
24 St & 41 Ave,31 St & Broadway,122,792,829
24 St & 41 Ave,35 St & Broadway,123,792,831
24 St & 41 Ave,37 Ave & 35 St,209,792,797
24 St & 41 Ave,44 Dr & 21 St,257,792,850
24 St & 41 Ave,44 Dr & Jackson Ave,404,792,430
24 St & 41 Ave,Crescent St & Broadway,125,792,828
24 St & 41 Ave,Queens Plaza North & Crescent St,121,792,433
27 Ave & 4 St,21 St & Queens Plaza North,58,749,434
27 Ave & 4 St,27 Ave & 4 St,95,749,749
27 Ave & 4 St,27 Ave & 9 St,57,749,856
27 Ave & 4 St,31 St & Astoria Blvd,133,749,753
