latitude,longitude,stationname
40.74731,-73.95451,46 Ave & 5 St
40.77282817,-73.96685276,5 Ave & E 73 St
40.77632142182271,-73.96427392959596,5 Ave & E 78 St
40.78307,-73.95939,5 Ave & E 88 St
40.72243797,-74.00566443,6 Ave & Canal St
40.7505853470215,-73.9946848154068,8 Ave & W 31 St
40.751551,-73.993934,8 Ave & W 33 St
40.7454973,-74.00197139,9 Ave & W 22 St
40.69308257,-73.97178913,Adelphi St & Myrtle Ave
40.7829391,-73.9786517,Amsterdam Ave & W 79 St
40.78524672,-73.97667321,Amsterdam Ave & W 82 St
40.72606,-73.95621,Banker St & Meserole Ave
40.71291224,-74.01020234,Barclay St & Church St
40.73172428,-74.00674436,Barrow St & Hudson St
40.72311651,-73.95212324,Bedford Ave & Nassau Ave
40.7190095,-73.95852515,Berry St & N 8 St
40.70463334,-74.01361706,Broadway & Battery Pl
40.73454567,-73.99074142,Broadway & E 14 St
40.74034320000001,-73.98955109,Broadway & E 22 St
40.74854862,-73.98808416,Broadway & W 32 St
40.76915505,-73.98191841,Broadway & W 60 St
40.701907,-74.013942,Bus Slip & State St
40.69597683,-73.99014892,Cadman Plaza E & Tillary St
40.71427487,-73.98990025,Canal St & Rutgers St
40.799484,-73.955613,Central Park North & Adam Clayton Powell Blvd
40.76590936,-73.97634151,Central Park S & 6 Ave
40.7734066,-73.97782542,Central Park West & W 68 St
40.77579376683666,-73.97620573639871,Central Park West & W 72 St
40.78472675,-73.96961715,Central Park West & W 85 St
40.71273266,-74.0046073,Centre St & Chambers St
40.73291553,-74.00711384,Christopher St & Greenwich St
40.693261,-73.968896,Clinton Ave & Myrtle Ave
40.729514962249496,-73.99075269699097,Cooper Square & Astor Pl
40.72923649910006,-73.99086803197861,Cooper Square & E 7 St
40.689888,-73.981013,DeKalb Ave & Hudson Ave
40.72325,-73.94308000000002,Driggs Ave & N Henry St
40.72740794,-73.98142006,E 10 St & Avenue A
40.73704984,-73.99009296,E 17 St & Broadway
40.736502,-73.97809472,E 23 St & 1 Ave
40.74096374,-73.98602213,E 24 St & Park Ave S
40.74444921,-73.98303529,E 30 St & Park Ave S
40.74571210000001,-73.98194829,E 32 St & Park Ave
