latitude,longitude,stationid,stationname,startcount,endcount
40.44535,-73.978238,160.0,E 37 St & Lexington Ave,8,8
40.517975200388506,-74.0313720703125,3036.0,8D OPS 01,3,3
40.646538367096475,-74.0165877342224,3239.0,Bressler,309,309
40.646677898897856,-74.01630342006682,3245.0,Kiosk in a box Motivate,220,220
40.646678,-74.016263,3040.0,SSP Tech Workshop,18,18
40.646768,-74.01651,255.0,NYCBS Depot - SSP,1313,1349
40.65539977447831,-74.01062786579129,3477.0,39 St & 2 Ave - Citi Bike HQ at Industry City,3595,4475
40.65594917783975,-74.00835871696472,3245.0,"Industry City, Building 1 Basement",403,438
40.65659567482039,-74.00849282741547,3487.0,Prototype Lab Motivate Headquarters,12,13
40.65708866668485,-74.00870203971863,3478.0,2 Ave & 36 St - Citi Bike HQ at Industry City,10867,12683
40.66065236872916,-73.9645904302597,3685.0,Prospect Park - 5 Year Anniversary Celebration,72,71
40.6610633719006,-73.97945255041121,3423.0,West Drive & Prospect Park West,53549,53326
40.6627059,-73.9569115,3601.0,Sterling St & Bedford Ave,2762,2983
40.66290776831685,-73.99972200393677,3036.0,8D OPS 01,3,2
40.662987,-73.97691800000003,3432.0,Bike in Movie Night | Prospect Park Bandshell,24,55
40.6630619,-73.95387459999998,3604.0,Rogers Ave & Sterling St,4731,4949
40.66314000000001,-73.96056949999998,3599.0,Franklin Ave & Empire Blvd,12335,12932
40.663779,-73.98396846,3310.0,14 St & 7 Ave,22729,21423
40.6642406,-73.9574686,3596.0,Sullivan Pl & Bedford Ave,1540,1685
40.66514681533792,-73.97637605667114,3300.0,Prospect Park West & 8 St,26422,24560
40.6661649,-73.95934840000002,3594.0,Montgomery St & Franklin Ave OLD,269,282
40.6662078,-73.98199886,3306.0,10 St & 7 Ave,21825,20324
40.666287,-73.98895053,3319.0,14 St & 5 Ave,22228,22351
40.66631810000001,-73.9854617,3313.0,6 Ave & 12 St,14299,13711
40.666439306870814,-73.96055638790129,3661.0,Montgomery St & Franklin Ave,1975,2010
40.666563,-73.95674100000002,3631.0,Crown St & Bedford Ave,2001,2038
40.6679411,-73.9588,3590.0,Carroll St & Franklin Ave,2085,2103
40.668127,-73.98377641,3304.0,6 Ave & 9 St,24733,24296
40.668132,-73.97363831,3354.0,3 St & Prospect Park West,36849,32250
40.6685455,-73.99333264,3324.0,3 Ave & 14 St,12819,13740
40.668603,-73.99043940000001,3322.0,12 St & 4 Ave,10143,10955
40.6686273,-73.98700053,3317.0,10 St & 5 Ave,14276,14262
40.66866270000001,-73.97988067,3297.0,6 St & 7 Ave,16701,15466
40.6686744,-73.9618148,3587.0,Carroll St & Washington Ave,3223,3155
40.66906013501107,-73.99463653564453,3432.0,NYCBS Depot - GOW,1283,3092
40.6691783,-73.9554162,3585.0,Union St & Bedford Ave,3170,3116
40.669767091850034,-73.99474382400513,3672.0,Apache,3,3
40.66979964220026,-73.99497985839844,3040.0,GOW Tech Shop,19,25
40.66979964220026,-73.99497985839844,3040.0,Handlebar @ Gowanus,2,8
40.669801930896156,-73.994904756546,3470.0,Gowanus Tech Station,7,7
40.67038370000001,-73.97839676,3365.0,3 St & 7 Ave,28794,28140
40.6704836,-73.98208968,3405.0,5 St & 6 Ave,14018,13743
40.67049220000001,-73.98541675,3404.0,7 St & 5 Ave,18048,18192
40.6705135,-73.98876585,3403.0,4 Ave & 9 St,20774,22246
40.67077670000001,-73.9576801,3584.0,Eastern Pkwy & Franklin Ave,14585,14211
40.6711978,-73.97484126,3358.0,Garfield Pl & 8 Ave,21804,20573
40.6716493,-73.9631145,3583.0,Eastern Pkwy & Washington Ave,9494,8529
40.6721683,-73.9609,3582.0,Lincoln Pl & Classon Ave,4390,3925
40.6724811,-73.99331394,3401.0,2 Ave & 9 St,8928,9285
40.6725058,-74.00494695,3330.0,Henry St & Bay St,4706,5118
40.67260298150126,-73.98983001708984,3399.0,7 St & 3 Ave,12140,12717
40.67267243410948,-74.00879524648191,3352.0,Sigourney St & Columbia St,5886,6754
40.672695,-73.954131,3579.0,Sterling Pl & Bedford Ave,8027,7933
40.67280641227746,-73.96886587142943,3253.0,Bike The Branches - Central Branch,154,146
40.67281550000001,-73.98352355,3368.0,5 Ave & 3 St,35891,36510
40.6729679,-73.97087984,3349.0,Grand Army Plaza & Plaza St West,53438,49433
40.67363551341504,-74.01195555925368,3337.0,Dwight St & Van Dyke St,4610,5677
40.6737236,-73.9631611,3580.0,St Johns Pl & Washington Ave,10412,9817
40.6740123,-73.9671457,3581.0,Underhill Ave & Lincoln Pl,12550,11927
40.6740886,-73.9787282,3361.0,Carroll St & 6 Ave,27173,27120
40.67418060000001,-73.95649470000002,3578.0,Park Pl & Franklin Ave,6765,6554
40.67434,-74.00194698,3326.0,Clinton St & Centre St,4956,5305
40.674613422475815,-73.98501142859459,3371.0,4 Ave & 2 St,11054,11809
40.67469570000001,-73.99785768,3398.0,Smith St & 9 St,23867,23739
40.6747055,-74.00755720000002,3333.0,Columbia St & Lorraine St,2579,3537
40.6747844,-74.01612847,3353.0,Reed St & Van Brunt St,8246,8649
40.67502070000001,-73.97111473,3418.0,Plaza St West & Flatbush Ave,47263,41967
40.6750705,-73.98775226,3373.0,3 St & 3 Ave,30034,31934
40.675146838709786,-73.9752320945263,3346.0,Berkeley Pl & 7 Ave,35284,35121
40.6751622,-73.9814832,3364.0,Carroll St & 5 Ave,26879,27636
40.6753274,-74.0100698,3340.0,Wolcott St & Dwight St,5621,6521
40.67534953067412,-74.01002034544946,3252.0,Bike The Branches - Red Hook Branch,20,29
40.67581622522832,-74.01488184928894,3644.0,Van Dyke St & Van Brunt St,2954,3329
40.6758324,-73.95616770000002,3569.0,Franklin Ave & St Marks Ave,10069,9862
40.675832943912894,-74.01472628116608,3676.0,Van Brunt St & Van Dyke St,6875,7656
40.67630357634183,-74.00314047932625,3669.0,Henry St & W 9 St,1906,1980
40.67630357634183,-74.00314047932625,3669.0,Henry St & W 9 St (OLD),94,96
40.676368,-73.95291800000003,3571.0,Bedford Ave & Bergen St,9239,9163
40.6763744,-74.00324957,3395.0,Henry St & W 9 St,2327,2465
40.6763744,-74.00324957,3395.0,Henry St & W 9 St [old],163,163
40.6763947,-73.99869893,3397.0,Court St & Nelson St,19063,19455
40.6765198,-73.9596082,3562.0,Classon Ave & St Marks Ave,12085,11753
40.6765304,-73.97846879,3339.0,Berkeley Pl & 6 Ave,20590,20972
40.6767,-73.969024,3576.0,Park Pl & Vanderbilt Ave,16941,16073
