,startstationid,startstationname
170,386.0,Centre St & Worth St
171,387.0,Centre St & Chambers St
172,388.0,W 26 St & 10 Ave
173,389.0,Broadway & Berry St
174,390.0,Duffield St & Willoughby St
175,391.0,Clark St & Henry St
176,392.0,Jay St & Tech Pl
177,393.0,E 5 St & Avenue C
178,394.0,E 9 St & Avenue C
179,395.0,Bond St & Schermerhorn St
180,396.0,Lefferts Pl & Franklin Ave
181,397.0,Fulton St & Clermont Ave
182,398.0,Atlantic Ave & Furman St
183,399.0,Lafayette Ave & St James Pl
184,400.0,Pitt St & Stanton St
185,401.0,Allen St & Rivington St
186,402.0,Broadway & E 22 St
187,403.0,E 2 St & 2 Ave
188,405.0,Washington St & Gansevoort St
189,406.0,Hicks St & Montague St
190,407.0,Henry St & Poplar St
191,408.0,Market St & Cherry St
192,409.0,DeKalb Ave & Skillman St
193,410.0,Suffolk St & Stanton St
194,411.0,E 6 St & Avenue D
195,412.0,Forsyth St & Canal St
196,414.0,Pearl St & Anchorage Pl
197,415.0,Pearl St & Hanover Square
198,416.0,Cumberland St & Lafayette Ave
199,417.0,Barclay St & Church St
200,418.0,Front St & Gold St
201,419.0,Carlton Ave & Park Ave
202,420.0,Clermont Ave & Lafayette Ave
203,421.0,Clermont Ave & Park Ave
204,422.0,W 59 St & 10 Ave
205,423.0,W 54 St & 9 Ave
206,426.0,West St & Chambers St
207,427.0,Bus Slip & State St
208,428.0,E 3 St & 1 Ave
209,430.0,York St & Jay St
210,432.0,E 7 St & Avenue A
211,433.0,E 13 St & Avenue A
212,433.0,old - E 13 St & Avenue A
213,434.0,9 Ave & W 18 St
214,435.0,W 21 St & 6 Ave
215,436.0,Hancock St & Bedford Ave
216,437.0,Macon St & Nostrand Ave
217,438.0,St Marks Pl & 1 Ave
218,439.0,E 4 St & 2 Ave
219,440.0,E 45 St & 3 Ave
220,441.0,E 52 St & 2 Ave
221,442.0,W 27 St & 7 Ave
222,443.0,Bedford Ave & S 9 St
223,444.0,Broadway & W 24 St
224,445.0,E 10 St & Avenue A
225,446.0,W 24 St & 7 Ave
226,447.0,8 Ave & W 52 St
227,448.0,W 37 St & 10 Ave
228,449.0,W 52 St & 9 Ave
229,450.0,W 49 St & 8 Ave
230,453.0,W 22 St & 8 Ave
231,454.0,E 51 St & 1 Ave
232,455.0,1 Ave & E 44 St
233,456.0,E 53 St & Madison Ave
234,457.0,Broadway & W 58 St
235,458.0,11 Ave & W 27 St
236,459.0,W 20 St & 11 Ave
237,460.0,S 4 St & Wythe Ave
238,461.0,E 20 St & 2 Ave
239,462.0,W 22 St & 10 Ave
240,463.0,9 Ave & W 16 St
241,465.0,Broadway & W 41 St
242,466.0,W 25 St & 6 Ave
243,467.0,Dean St & 4 Ave
244,468.0,Broadway & W 55 St
245,468.0,Broadway & W 56 St
246,469.0,Broadway & W 53 St
247,470.0,W 20 St & 8 Ave
248,471.0,Grand St & Havemeyer St
249,472.0,E 32 St & Park Ave
250,473.0,Rivington St & Chrystie St
