,startstationid,startstationname
719,3478.0,2 Ave & 36 St - Citi Bike HQ at Industry City
720,3479.0,Picnic Point
721,3480.0,WS Don't Use
722,3485.0,NYCBS Depot - RIS
723,3486.0,Schermerhorn St & Bond St
724,3487.0,Prototype Lab Motivate Headquarters
725,3488.0,8D QC Station 01
726,3489.0,Gold St & Frankfort St
727,3490.0,E 116 St & 2 Ave
728,3491.0,E 118 St & 1 Ave
729,3492.0,E 118 St & Park Ave
730,3493.0,E 118 St & 3 Ave
731,3494.0,E 115 St & Lexington Ave
732,3495.0,E 114 St & 1 Ave
733,3496.0,1 Ave & E 110 St
734,3497.0,Pleasant Ave & E 116 St
735,3498.0,Pleasant Ave & E 120 St
736,3499.0,2 Ave & E 122 St
737,3500.0,E 115 St & Madison Ave
738,3501.0,E 118 St & Madison Ave
739,3502.0,Lexington Ave & E 111 St
740,3503.0,Madison Ave & E 120 St
741,3504.0,E 123 St & Lexington Ave
742,3505.0,Lexington Ave & E 127 St
743,3506.0,Lexington Ave & E 120 St
744,3507.0,Park Ave & E 124 St
745,3508.0,St Nicholas Ave & Manhattan Ave
746,3509.0,Lenox Ave & W 115 St
747,3510.0,Adam Clayton Powell Blvd & W 123 St
748,3511.0,Adam Clayton Powell Blvd & W 115 St
749,3512.0,27 Ave & 4 St
750,3513.0,21 St & Hoyt Ave S
751,3514.0,Astoria Park S & Shore Blvd
752,3515.0,24 Ave & 26 St
753,3516.0,31 St & Astoria Blvd
754,3517.0,31 St & Hoyt Ave N
755,3518.0,Lenox Ave & W 126 St
756,3520.0,Adam Clayton Powell Blvd & W 118 St
757,3521.0,Lenox Ave & W 111 St
758,3522.0,37 St & 24 Ave
759,3523.0,24 Ave & 29 St
760,3524.0,19 St & 24 Ave
761,3525.0,23 Ave & 27 St
762,3526.0,31 St & 23 Ave
763,3527.0,5 Ave & E 126 St
764,3528.0,Steinway St & 23 Ave
765,3529.0,Lenox Ave & W 130 St
766,3530.0,Crescent St & Ditmars Blvd
767,3531.0,Frederick Douglass Blvd & W 129 St
768,3532.0,Ditmars Blvd & 19 St
769,3533.0,St. Nicholas Ave & W 126 St
770,3534.0,Frederick Douglass Blvd & W 117 St
771,3535.0,Mt Morris Park W & W 120 St
772,3536.0,W 116 St & Broadway
773,3537.0,Carlton Ave & Dean St
774,3538.0,W 110 St & Amsterdam Ave
775,3539.0,W 116 St & Amsterdam Ave
776,3540.0,Morningside Ave & W 123 St
777,3541.0,Amsterdam Ave & W 125 St
778,3542.0,Amsterdam Ave & W 119 St
779,3543.0,Morningside Dr & Amsterdam Ave
780,3544.0,Underhill Ave & Pacific St
781,3545.0,Broadway & W 122 St
782,3546.0,Pacific St & Classon Ave
783,3547.0,Broadway & Moylan Pl
784,3548.0,Pacific St & Bedford Ave
785,3549.0,Grand Ave & Bergen St
786,3550.0,Convent Ave & W 129 St
787,3551.0,3 Ave & E 112 St
788,3552.0,W 113 St & Broadway
789,3553.0,Frederick Douglass Blvd & W 112 St
790,3554.0,Vernon Blvd & 41 Rd
791,3555.0,28 St & 41 Ave
792,3556.0,24 St & 41 Ave
793,3557.0,40 Ave & 9 St
794,3558.0,Bergen St & Vanderbilt Ave
795,3559.0,21 St & 38 Ave
796,3560.0,28 St & 38 Ave
797,3561.0,37 Ave & 35 St
798,3562.0,Classon Ave & St Marks Ave
799,3563.0,28 St & 36 Ave
800,3564.0,21 St & 36 Ave
801,3565.0,36 Ave & 10 St
802,3566.0,Crescent St & 35 Ave
803,3567.0,11 St & 35 Ave
804,3568.0,34 St & 35 Ave
805,3569.0,Franklin Ave & St Marks Ave
806,3570.0,35 Ave & 37 St
807,3571.0,Bedford Ave & Bergen St
808,3572.0,34 Ave & 38 St
809,3573.0,35 St & 34 Ave
810,3574.0,Prospect Pl & Underhill Ave
811,3575.0,Crescent St & 34 Ave
812,3576.0,Park Pl & Vanderbilt Ave
813,3577.0,34 Ave & 21 St
814,3578.0,Park Pl & Franklin Ave
815,3579.0,Sterling Pl & Bedford Ave
816,3580.0,St Johns Pl & Washington Ave
817,3581.0,Underhill Ave & Lincoln Pl
818,3582.0,Lincoln Pl & Classon Ave
819,3583.0,Eastern Pkwy & Washington Ave
820,3584.0,Eastern Pkwy & Franklin Ave
821,3585.0,Union St & Bedford Ave
822,3586.0,34 Ave & 13 St
823,3587.0,Carroll St & Washington Ave
824,3588.0,Vernon Blvd & 10 St
825,3589.0,Broadway & 12 St
826,3590.0,Carroll St & Franklin Ave
827,3591.0,21 St & 31 Dr
828,3592.0,Crescent St & Broadway
829,3593.0,31 St & Broadway
830,3594.0,Montgomery St & Franklin Ave OLD
831,3595.0,35 St & Broadway
832,3596.0,Sullivan Pl & Bedford Ave
833,3597.0,43 St & Broadway
834,3598.0,Newton Rd & 44 St
835,3599.0,Franklin Ave & Empire Blvd
836,3601.0,Sterling St & Bedford Ave
837,3602.0,31 Ave & 34 St
838,3603.0,31 Ave & 30 St
839,3604.0,Rogers Ave & Sterling St
840,3605.0,31 Ave & Crescent St
841,3606.0,49 Ave & 21 St
842,3607.0,31 Ave & 14 St
843,3608.0,5 St & 51 Ave
844,3609.0,Vernon Blvd & 31 Ave
845,3610.0,Vernon Blvd & 30 Rd
846,3611.0,Vernon Blvd & 47 Rd
847,3612.0,30 Ave & 21 St
848,3613.0,Center Blvd & 48 Ave
849,3614.0,Crescent St & 30 Ave
850,3615.0,44 Dr & 21 St
851,3616.0,Steinway St & 28 Ave
852,3617.0,28 Ave & 35 St
853,3618.0,27 St & Hunter St
854,3619.0,Newtown Ave & 23 St
855,3620.0,11 St & 43 Ave
856,3621.0,27 Ave & 9 St
857,3622.0,E 128 St & Madison Ave
858,3623.0,W 120 St & Claremont Ave
859,3625.0,28 St & 40 Ave
860,3628.0,Lenox Ave & W 117 St
861,3629.0,Adam Clayton Powell Blvd & W 126 St
862,3630.0,Frederick Douglass Blvd & W 115 St
863,3631.0,Crown St & Bedford Ave
864,3632.0,E 12 St & Avenue B
865,3633.0,333 Johnson TEST 1
866,3635.0,W 36 St & 9 Ave
867,3636.0,Expansion Warehouse 333 Johnson Ave
868,3637.0,Fulton St & Waverly Ave
869,3641.0,Broadway & W 25 St
870,3642.0,E 98 St & Lexington Ave
871,3643.0,E 41 St & 5 Ave
872,3644.0,Van Dyke St & Van Brunt St
873,3646.0,35 Ave & 10 St
874,3647.0,48 Ave & 30 Pl
875,3648.0,Flushing Ave & Vanderbilt Ave
876,3649.0,W 129 St & Convent Ave
877,3650.0,8D Mobile 01
878,3653.0,31 St & 35 Ave
879,3654.0,31 St & Northern Blvd
880,3656.0,E 2 St & Avenue A
881,3658.0,W 18 St & 9 Ave
882,3659.0,W 17 St & 9 Ave
883,3660.0,W 16 St & 8 Ave
884,3661.0,Montgomery St & Franklin Ave
885,3662.0,31 Ave & Steinway St
886,3663.0,Sterling Pl & 7 Ave
887,3664.0,North Moore St & Greenwich St
888,3666.0,32 St & 30 Ave
889,3668.0,Leonard St & Nassau Ave
890,3669.0,Henry St & W 9 St
891,3669.0,Henry St & W 9 St (OLD)
892,3671.0,E 81 St & 2 Ave
893,3672.0,Apache
894,3673.0,Dean St & Franklin Ave
895,3674.0,Jay St & York St
896,3675.0,3 Ave & E 95 St
897,3676.0,Van Brunt St & Van Dyke St
898,3680.0,E 43 St & 5 Ave
899,3683.0,Smart Cities Conference
900,3684.0,W 12 St & W 4 St
901,3685.0,Prospect Park - 5 Year Anniversary Celebration
902,3686.0,Gansevoort St & Hudson St
903,3687.0,E 33 St & 1 Ave
904,3688.0,2 Ave & E 55 St
905,3689.0,W 104 St & Amsterdam Ave
906,3690.0,Park Pl & Church St
907,3691.0,28 Ave & 44 St
908,3692.0,5 St & Market St
909,3693.0,N 11 St & Kent Ave
910,3695.0,E 5 St & 2 Ave
911,3697.0,W 64 St & Thelonious Monk Circle
912,3699.0,W 50 St & 9 Ave
913,3700.0,E 87 St & 3 Ave
914,3701.0,Cliff St & Fulton St
915,3704.0,47 Ave & Skillman Ave
916,3705.0,Thompson St & Bleecker St
917,3709.0,W 15 St & 6 Ave
918,3711.0,E 13 St & Avenue A
919,3712.0,W 35 St & Dyer Ave
920,3714.0,Division Av & Hooper St
921,3715.0,Driggs Ave & N 9 St
922,3716.0,40 Ave & Crescent St
923,3718.0,E 11 St & Avenue B
924,3719.0,S Portland Ave & Atlantic Ave
925,3720.0,Wyckoff St & Bond St
926,3721.0,31 St & Newtown Ave
